"Search for...",Pretraga
GDPR,"Zaštita podataka o ličnosti"
DATE,DATUM
date,datum
"SHIP TO",ISPORUČITI
STATUS,STATUS
Reorder,"Promenite redosled"
Pending,"Na čekanju"
Processing,"Obrađuje se"
Complete,Završeno
complete,završeno
"You have placed no orders.","Još uvek niste naručili. "
"per page","po stranici"
"ORDER #","BROJ NARUDŽBINE"
"ITEMS ORDERED","NARUČENI ARTIKLI"
"Back to My Orders","Nazad u Moje narudžbine"
"ORDER INFORMATION","INFORMACIJE O NARUDŽBINI"
"Shipping Address","Adresa za dostavu"
"Billing Address","Adresa za plaćanje"
"ORDER SHIPMENTS","POŠILJKA NARUDŽBINE"
"Print All Shipments","Odštampajte sve pošiljke"
"Print Shipment","Odštampajte pošiljku"
"Track this shipment","Pratite ovu pošiljku"
INVOICES,FAKTURE
Invoice,Faktura
invoice,faktura
"Print Invoice","Odštampajte fakturu"
Refunds,"Povrat novca"
Closed,Zatvoreno
closed,zatvoreno
"Print All Refunds","Odštampajte sve povrate novca"
"Print Refund","Odštampajte povrat novca"
Refund,"Povrat novca"
"Shipping & Handling","Pošiljka i rukovanje"
"You have not purchased any downloadable products yet.","Još niste kupili nijedan proizvod koji se može preuzeti."
"Update Wish List","Ažurirajte listu želja"
"Remove Item","Ukloni proizvod"
"Share Wish List","Podelite listu želja"
"Add All to Cart","Dodaj sve u korpu"
ADDRESS,ADRESA
Address,Adresa
address,adresa
State/Province,Država/Pokrajina
"You have no default billing address in your address book","Nemate podrazumevanu adresu za plaćanje u svom adresaru"
"Edit Account Information","Uredite informacije o nalogu"
"You have no stored payment methods.","Nemate sačuvanih načina plaćanja."
"You have submitted no reviews.","Niste poslali nijednu recenziju"
"DATA ACCESS","PRISTUP PODACIMA"
"Data Access","Pristup Podacima"
"Erase Account","Obriši nalog"
Submit,Prihvati
SUBMIT,PRIHVATI
